,name,album,artist,danceability,acousticness,energy,instrumentalness,liveness,loudness,valence,id
0,Subtitle,Subtitle,Official HIGE DANdism,0.649,0.0313,0.683,0.0,0.118,-6.49,0.381,49F3htNmwzPKFycPdOrDvf
1,KICK BACK,KICK BACK,Kenshi Yonezu,0.577,0.00207,0.941,3.36e-06,0.0891,-5.17,0.292,3khEEPRyBeOUabbmOPJzAG
2,Overdose,Overdose,なとり,0.733,0.0307,0.598,1.7e-05,0.218,-9.453,0.831,2Dzzhb1oV5ckgOjWZLraIB
3,W / X / Y,Memories,Tani Yuuki,0.628,0.159,0.775,0.0,0.33,-4.479,0.674,4IfrM44LofE9bSs6TDZS49
4,新時代,ウタの歌 ONE PIECE FILM RED,Ado,0.49,0.049,0.987,3.24e-06,0.406,-2.279,0.451,28MATCYDctW5EiBa2repxb
5,ダンスホール,ダンスホール,Mrs. GREEN APPLE,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.784,4NaaF28BeO9WzjDrSS71Nz
6,カナタハルカ,すずめの戸締まり,RADWIMPS,0.474,0.626,0.535,0.0,0.413,-6.566,0.324,4Fh1CzvLHIUn26tjbZZ1mR
7,シンデレラボーイ,レイジーサンデー,Saucy Dog,0.596,0.0748,0.735,0.0,0.269,-6.362,0.524,1Vqs0lXeJafYZz2sxnfB3V
8,本当はね、,本当はね、,ヤングスキニー,0.59,0.178,0.746,5.39e-06,0.0594,-5.313,0.873,5MqZFxSAGTKqnUbBVLlkM5
9,私は最強,ウタの歌 ONE PIECE FILM RED,Ado,0.577,0.208,0.864,0.0,0.355,-2.92,0.698,5YQNjKZofFhlBCIzTVY6rW
10,すずめ,すずめの戸締まり,RADWIMPS,0.565,0.65,0.41,0.0,0.309,-6.616,0.36,3HCGX2gmPLu6ttkbYvPGTR
11,祝福,祝福,YOASOBI,0.553,0.0186,0.958,3.08e-05,0.297,-3.159,0.541,7ajpbW6tBpqUI9foCtwlLw
12,もう一度,もう一度,Tani Yuuki,0.571,0.00408,0.724,0.0,0.361,-5.381,0.315,1RChlirFdgtS1ZPH45dJX0
13,ミックスナッツ,ミックスナッツ,Official HIGE DANdism,0.542,0.0101,0.918,0.0,0.259,-5.074,0.784,60ReNXcPcsVFd7nUuQw5HZ
14,SOUVENIR,SOUVENIR,BUMP OF CHICKEN,0.622,0.0094,0.94,6.48e-06,0.0957,-4.997,0.96,7qOsSOpiL3R8RKyiBtIYNQ
15,ベテルギウス,壱,Yuuri,0.367,0.222,0.671,0.0,0.494,-4.604,0.691,4JK1kDUdH9RTBQrrSO1QfR
16,愛とか恋とか,Assort,Novelbright,0.697,0.698,0.556,0.0,0.0991,-5.089,0.404,1VHL1PIkhDwWbFc65xHwOr
17,色彩,色彩,yama,0.581,0.176,0.926,0.0,0.251,-3.268,0.874,1uveEvgKX4irLcp1BUTIFD
18,Stardom,Stardom,King Gnu,0.59,0.174,0.957,0.0,0.621,-6.08,0.399,7gdbaUPut1M0ewKOSAqvyW
19,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,0.71,0.158,0.879,0.00142,0.439,-4.218,0.341,1RDvyOk4WtPCtoqciJwVn8
20,なんでもないよ、,ハッピーエンドへの期待は,Macaroni Empitsu,0.598,0.245,0.511,0.0,0.0732,-6.015,0.652,5W7Y92LB4jWvu9NeEQ0GZl
21,怪獣の花唄,strobo,Vaundy,0.425,0.00361,0.939,0.0,0.331,-3.498,0.638,10zz9RZt9DnqcxNWksRNrx
22,水平線,水平線,back number,0.419,0.011,0.75,0.0,0.159,-3.546,0.436,5m1i6hq7dmRlp3c1utE48L
23,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,0.882,0.0821,0.797,0.0,0.113,-3.299,0.824,4fsQ0K37TOXa3hEQfjEic1
24,Shinunoga E-Wa,HELP EVER HURT NEVER,Fujii Kaze,0.6,0.166,0.76,4.09e-05,0.189,-6.124,0.519,0o9zmvc5f3EFApU52PPIyW
25,逆光,ウタの歌 ONE PIECE FILM RED,Ado,0.564,0.000387,0.896,8.17e-06,0.374,-3.875,0.713,78MS9OT9Flm2V78fhTw4rk
26,ドライフラワー,壱,Yuuri,0.463,0.495,0.603,0.0,0.167,-5.464,0.477,4kPlQKwtPrnqLgrmmKFSlA
27,CHAINSAW BLOOD,CHAINSAW BLOOD,Vaundy,0.528,7.38e-05,0.855,1.81e-06,0.281,-5.229,0.549,3lUOzabhWYyRImRszpJGOU
28,アイラブユー,アイラブユー,back number,0.468,0.296,0.624,0.0,0.142,-3.629,0.462,4gbHag1jhjLTDcrbfpFnYQ
29,残機,残機,ZUTOMAYO,0.667,0.403,0.903,0.0,0.119,-2.965,0.849,1XeOqgzh2fZhmgxnmyiIJ8
30,私は最強,Soranji,Mrs. GREEN APPLE,0.609,0.0142,0.868,0.0,0.328,-2.578,0.496,0tJ6d01rh2gTbpFlY1mYJZ
31,紫苑,紫苑,Saucy Dog,0.545,0.514,0.523,0.0,0.138,-6.242,0.244,4dFGAtzdQ0C7WowKPZXc8J
32,115万キロのフィルム,エスカパレード,Official HIGE DANdism,0.516,0.00345,0.791,0.0,0.141,-1.927,0.48,278JqkBGkjDovOYAwE8TW7
33,ウタカタララバイ,ウタの歌 ONE PIECE FILM RED,Ado,0.524,0.179,0.914,0.0,0.17,-2.104,0.63,3IhHrBYZaxySuRu1zI7Vuk
34,カメレオン,カメレオン,King Gnu,0.628,0.643,0.533,0.0,0.0733,-7.235,0.459,0J0P8iSE6l3pYHbUdNFYdS
35,恋だろ,suits me! suits you!,wacci,0.599,0.17,0.546,0.0,0.113,-6.795,0.336,2j7GjqDtsKbEhVq0Gw6a5Z
36,Habit,Habit,SEKAI NO OWARI,0.749,0.203,0.85,0.0,0.18,-5.39,0.912,2uMNMcjjUz8oNIxjIu20qE
37,grace,grace,Fujii Kaze,0.668,0.0822,0.685,0.0257,0.319,-8.765,0.637,7tnYsRepXLaNhqj4xtcWP2
38,点描の唄,青と夏,Mrs. GREEN APPLE,0.502,0.447,0.632,0.0,0.103,-4.612,0.308,1sIIlVrnPhrvmTrHtzM7tV
39,きらり,Kirari Remixes (Asia Edition),Fujii Kaze,0.746,0.00803,0.764,0.0,0.357,-6.833,0.701,51oc6MEsXTpnPn6GOw5VuP
40,Dynamite,BE,BTS,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.737,5QDLhrAOJJdNAmCTJ8xMyW
41,群青,THE BOOK,YOASOBI,0.725,0.305,0.853,0.0,0.115,-3.193,0.707,1zd35Y44Blc1CwwVbW3Qnk
42,After LIKE,After LIKE,IVE,0.68,0.103,0.922,0.0,0.0877,-1.215,0.799,2gYj9lubBorOPIVWsTXugG
43,シャッター,壱,Yuuri,0.606,0.512,0.579,0.0,0.381,-5.582,0.661,19mjCzLuMHZ0Tyn3eI85bo
44,Mela!,Mela!,Ryokuoushoku Shakai,0.619,0.0439,0.941,1.73e-05,0.318,-1.618,0.624,6IO5nn84TKArsi3cjpIqaD
45,Talk that Talk,BETWEEN 1&2,TWICE,0.774,0.143,0.905,0.0,0.332,-2.432,0.768,0kqTXMHiQiB7IECD0WwcPq
46,ベルベットの詩,ベルベットの詩,back number,0.495,0.00947,0.71,0.0,0.0577,-3.965,0.609,2N4lCwOeFRX7qrbMPRcZ7d
47,雨燦々,雨燦々,King Gnu,0.494,0.354,0.862,0.00431,0.13,-4.608,0.587,34PR0zLBVl7VMF9E7dDwdo
48,Left and Right (Feat. Jung Kook of BTS),CHARLIE,Charlie Puth,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.719,5Odq8ohlgIbQKMZivbWkEo
49,バニラ,バニラ,Kyanai,0.641,0.028,0.698,0.0,0.13,-3.934,0.521,0zfNtgPJ5FLkbveRjSdCMb
